year,team,opponent,date,game,Goals,Catches,Ds,Turnovers,Drops,Throwaways,Goals_against,Hold_pct,Break_pct
2014,Cincinnati Revolution,Chicago Wildfire,2014-04-18,Cincinnati Revolution_Chicago Wildfire_2014-04-18,23,254.0,11.0,28.0,6.0,22.0,22,0.8571428571428571,0.20833333333333334
2014,Cincinnati Revolution,Chicago Wildfire,2014-04-26,Cincinnati Revolution_Chicago Wildfire_2014-04-26,12,1.0,4.0,74.0,20.0,54.0,26,0.36,0.23076923076923078
2014,Cincinnati Revolution,Chicago Wildfire,2014-06-28,Cincinnati Revolution_Chicago Wildfire_2014-06-28,11,40.0,14.0,55.0,7.0,48.0,21,0.5,0.08333333333333333
2014,Cincinnati Revolution,Detroit Mechanix,2014-05-02,Cincinnati Revolution_Detroit Mechanix_2014-05-02,25,160.0,18.0,40.0,3.0,37.0,13,0.7333333333333333,0.6086956521739131
2014,Cincinnati Revolution,Detroit Mechanix,2014-05-10,Cincinnati Revolution_Detroit Mechanix_2014-05-10,20,171.0,21.0,51.0,5.0,46.0,15,0.7647058823529411,0.3888888888888889
2014,Cincinnati Revolution,Detroit Mechanix,2014-07-05,Cincinnati Revolution_Detroit Mechanix_2014-07-05,24,190.0,16.0,38.0,6.0,32.0,20,0.8421052631578947,0.32
2014,Cincinnati Revolution,Indianapolis AlleyCats,2014-05-16,Cincinnati Revolution_Indianapolis AlleyCats_2014-05-16,20,239.0,15.0,39.0,6.0,33.0,24,0.7083333333333334,0.15
2014,Cincinnati Revolution,Indianapolis AlleyCats,2014-06-21,Cincinnati Revolution_Indianapolis AlleyCats_2014-06-21,22,239.0,8.0,23.0,2.0,21.0,23,0.6956521739130435,0.2727272727272727
2014,Cincinnati Revolution,Indianapolis AlleyCats,2014-06-27,Cincinnati Revolution_Indianapolis AlleyCats_2014-06-27,15,81.0,9.0,38.0,1.0,37.0,29,0.5357142857142857,0.0
2014,Cincinnati Revolution,Madison Radicals,2014-04-12,Cincinnati Revolution_Madison Radicals_2014-04-12,16,307.0,11.0,47.0,7.0,40.0,25,0.38461538461538464,0.4
2014,Cincinnati Revolution,Madison Radicals,2014-05-31,Cincinnati Revolution_Madison Radicals_2014-05-31,12,335.0,9.0,40.0,2.0,38.0,29,0.4074074074074074,0.07142857142857142
2014,Cincinnati Revolution,Madison Radicals,2014-06-08,Cincinnati Revolution_Madison Radicals_2014-06-08,14,88.0,5.0,45.0,7.0,38.0,28,0.48148148148148145,0.06666666666666667
2014,Cincinnati Revolution,Minnesota Wind Chill,2014-05-24,Cincinnati Revolution_Minnesota Wind Chill_2014-05-24,25,259.0,11.0,36.0,8.0,28.0,26,0.76,0.23076923076923078
2014,Cincinnati Revolution,Minnesota Wind Chill,2014-06-07,Cincinnati Revolution_Minnesota Wind Chill_2014-06-07,18,183.0,5.0,38.0,6.0,32.0,30,0.5,0.2
2014,DC Breeze,Montreal Royal,2014-06-08,DC Breeze_Montreal Royal_2014-06-08,25,223.0,12.0,32.0,5.0,27.0,24,0.68,0.3333333333333333
2014,DC Breeze,Montreal Royal,2014-06-28,DC Breeze_Montreal Royal_2014-06-28,28,248.0,15.0,24.0,5.0,19.0,20,0.6363636363636364,0.5384615384615384
2014,DC Breeze,New York Empire,2014-06-14,DC Breeze_New York Empire_2014-06-14,31,245.0,13.0,31.0,1.0,30.0,26,0.76,0.375
2014,DC Breeze,New York Empire,2014-06-29,DC Breeze_New York Empire_2014-06-29,13,259.0,9.0,52.0,9.0,43.0,21,0.45454545454545453,0.25
2014,DC Breeze,New York Empire,2014-07-05,DC Breeze_New York Empire_2014-07-05,23,245.0,7.0,32.0,4.0,28.0,31,0.5806451612903226,0.21739130434782608
2014,DC Breeze,New York Empire,2014-07-12,DC Breeze_New York Empire_2014-07-12,14,239.0,16.0,55.0,5.0,50.0,13,0.46153846153846156,0.5714285714285714
2014,DC Breeze,Philadelphia Phoenix,2014-05-03,DC Breeze_Philadelphia Phoenix_2014-05-03,30,263.0,14.0,43.0,2.0,41.0,22,0.9047619047619048,0.3548387096774194
