year,team,Goals,Catches,Ds,Turnovers,Drops,Throwaways,Goals_against,Hold_pct,Break_pct,Win_pct
2014,Cincinnati Revolution,257,2547.0,157.0,592.0,86.0,506.0,331,0.5907692307692308,0.24714828897338403,0.2857142857142857
2014,DC Breeze,346,3438.0,177.0,560.0,63.0,497.0,344,0.6463768115942029,0.3565217391304348,0.6666666666666666
2014,Detroit Mechanix,217,2947.0,176.0,711.0,111.0,600.0,380,0.48118279569892475,0.1688888888888889,0.0
2014,Indianapolis AlleyCats,310,3236.0,189.0,578.0,85.0,493.0,311,0.7012987012987013,0.3003194888178914,0.5333333333333333
2014,Madison Radicals,379,3633.0,294.0,523.0,62.0,461.0,249,0.8,0.47354497354497355,0.8125
2014,Minnesota Wind Chill,341,3799.0,243.0,424.0,110.0,314.0,302,0.7035830618892508,0.37202380952380953,0.5714285714285714
2014,Montreal Royal,296,3018.0,160.0,510.0,52.0,458.0,303,0.6254180602006689,0.36333333333333334,0.42857142857142855
2014,New York Empire,357,3559.0,239.0,612.0,43.0,569.0,281,0.7027972027972028,0.4431818181818182,0.6875
2014,Philadelphia Phoenix,247,3859.0,154.0,599.0,56.0,543.0,335,0.5692771084337349,0.232,0.14285714285714285
2014,Rochester Dragons,226,3072.0,153.0,657.0,85.0,572.0,360,0.5056818181818182,0.20512820512820512,0.07142857142857142
2014,Salt Lake Lions,209,3544.0,152.0,731.0,122.0,609.0,403,0.4317617866004963,0.1674641148325359,0.0
2014,San Francisco FlameThrowers,355,3010.0,202.0,729.0,81.0,648.0,294,0.6993243243243243,0.4192634560906516,0.7333333333333333
2014,San Jose Spiders,473,3444.0,226.0,646.0,45.0,601.0,340,0.8250728862973761,0.40425531914893614,0.9411764705882353
2014,Seattle Raptors,277,3379.0,210.0,684.0,73.0,611.0,296,0.6027397260273972,0.3594306049822064,0.21428571428571427
2014,Toronto Rush,432,3845.0,276.0,601.0,54.0,547.0,273,0.7622377622377622,0.5107398568019093,0.9375
